id,osm_id,way,distance,name,highway
12,653551863,0102000020110F000002000000EB5BCD806DEA3C414FEE43358B805741AC8C973E48EA3C41FB3F0F4346805741,9.824265,,motorway
13,443068280,0102000020110F0000020000008A7C38F25AEA3C413E388F3B46805741D5DBFF3175EA3C41C40A4B7E73805741,9.8121195,,motorway
14,443068275,0102000020110F000002000000892E6CBD4BEA3C419A6B237D2C8057418A7C38F25AEA3C413E388F3B46805741,9.806555,,motorway
15,786381144,0102000020110F00000500000079FCB67ABDED3C41FEDA773A6F80574161751158C2ED3C410691FF746A80574167794538C7ED3C41BD79AAA36480574169801D0CCAED3C41068D21EC5F805741CBFDEDD6CBED3C41CE8176405C805741,9.255896,,primary
16,786381145,0102000020110F000004000000CBFDEDD6CBED3C41CE8176405C8057418FF674FCCCED3C4128542306568057415CC46710CDED3C41B3B3AFF451805741CB076A9ECCED3C41A7FA146B4B805741,9.244532,,primary
17,786381143,0102000020110F000002000000CB076A9ECCED3C41A7FA146B4B805741A0997405C8ED3C414A7C9D1342805741,9.241568,,primary
18,1082123218,0102000020110F000005000000A0997405C8ED3C414A7C9D13428057417D0F2586C3ED3C41C72F4FAC3B8057416D2AEF7FBCED3C41A46D26B13480574132EDD5DFB4ED3C413AEA35502D805741E119DDF1B0ED3C4195E5A2E129805741,9.24044,,primary
19,1082123219,0102000020110F00000A000000C45FC45F79ED3C411FC06BD591805741E1203E2882ED3C412918CFB18E80574177F781798BED3C41ED05C43C8B80574180FDCFC992ED3C41C8E97159888057417F29F4C79AED3C41B9320CEE8480574137725B29A2ED3C414D11DD49818057411DFFAD95A8ED3C4177E0E5E47D8057414A6AFF3AAFED3C41266F5BFF798057419C4E4CC4B6ED3C41C5CB96907480574179FCB67ABDED3C41FEDA773A6F805741,9.277643,,primary
20,786381146,0102000020110F00000B0000003751DE060DED3C41A0EBD5E6AD805741884B3D8F18ED3C410421CC8EAB80574146A92C6C28ED3C4197D23E4EA8805741DAA4BCE736ED3C41225A0D13A58057415CCA50883FED3C41C359BC10A38057414157A3F445ED3C4112233674A1805741FFA33E3652ED3C41CB5197239E80574141C5FDEF59ED3C41B5A00F0F9C8057419DA05E9E67ED3C41E66C92C197805741E1C8F52B72ED3C41CD64F46194805741C45FC45F79ED3C411FC06BD591805741,9.344874,,primary
21,229163294,0102000020110F0000070000001B82DE8943EC3C41EF4DBFA5C88057418FC5CE52A6EC3C414E374C36BC8057419C903517D6EC3C418E4154F3B5805741F46E3AB9E1EC3C4131C14D7CB4805741B3B15933EDEC3C41523F34D7B2805741195D686CF9EC3C416127E301B18057413751DE060DED3C41A0EBD5E6AD805741,9.433996,,primary
22,4858746,0102000020110F0000220000003751DE060DED3C41A0EBD5E6AD805741ED99456814ED3C41255A2A8EB0805741BD25791C3AED3C41B1F09D0BBE8057416AD4D2B84BED3C41B3EBBA14C4805741AA1F9C0059ED3C4133868C74C98057418015859B67ED3C41F028613DCF8057410056E99E74ED3C41C5A7C8F0D480574169DCABAD7BED3C410FC513A5D88057411162853F83ED3C414747630DDD8057415472F05D87ED3C4102F885EDDF805741A3402BE88AED3C41302CB974E280574184D5DFAB8FED3C41FC09433AE7805741C5F484F594ED3C4164E55306ED80574148FA8ACF98ED3C412AD92ECFF2805741CEEB981A9BED3C4118AACC77F7805741CA0ECBD49DED3C411A9652EFFD8057412799BB5A9EED3C41157E069505815741AF850B42A0ED3C41C0F6BFC10D815741E3C3AE65A3ED3C41044FC1CA1C815741A9B77727A4ED3C41D7BBD1FA258157414B391DD9A6ED3C41FCC962AE2C8157418856A8B2A9ED3C41D53696F33281574115311A7BACED3C41E175566F38815741CA72A908B1ED3C412BE598103E815741A332F2DDB6ED3C4126DB4D214481574109B9B4ECBDED3C41E51FBA1E4A8157416E62A9B5C7ED3C411EEFB7E84F81574187325DA9D1ED3C413E4AB11C558157417CAE61E3DFED3C4107CD35665B8157419E7529FCEFED3C41779598DA618157415BE92AD803EE3C4125D4C66968815741ACF2C38B10EE3C4171AE90246C8157419C716CB91CEE3C413545AE126F815741649373E927EE3C419C41DA9871815741,9.391194,,secondary
23,786372803,0102000020110F000003000000F935E50DD0EA3C41326F77DF70815741D9CA99D1D4EA3C418833AD1F96815741AA9F64B9D7EA3C413E53DA3BAB815741,9.946629,,motorway
24,49777231,0102000020110F0000140000001B82DE8943EC3C41EF4DBFA5C880574132B13BB02EEC3C41E9CA6F8ACE805741CC0AEBDA22EC3C41BF6FC87CD18057413DD158420DEC3C417C339615D9805741B385E88AF8EB3C41DE795634E1805741B9B7E33BD6EB3C416AD227C5EE8057417E112E04BBEB3C41457D61A9FA805741B43B62FB8AEB3C419E36D49110815741013115E532EB3C4105D8C9F03681574168F6F25F16EB3C417AE2A6DB438157417D0866B3FAEA3C41DE056DB74F815741FFDA6FBBF3EA3C41C860C32053815741D460E4EAEBEA3C413CAD574157815741886F77A6E5EA3C41E96C690F5B815741349A6448DFEA3C41DA6737605F8157417492A3F7DCEA3C41EFC4A9BD61815741B4852443DAEA3C41335D6BB5648157417B5B79AED8EA3C41E6B1DE2167815741CA1188C9D5EA3C41EC75514F6B815741F935E50DD0EA3C41326F77DF70815741,9.582251,,motorway_link
25,49777232,0102000020110F0000250000002DA70D66ACEA3C416624FA4BED805741DE599BE2C2EA3C41AD7CAEDE0D815741FFED6629C8EA3C410C77EFCD11815741A862EC1FCCEA3C411E094C75148157417D2A974CD0EA3C413526928516815741A79D4A49D5EA3C418871B266188157412AB96222DDEA3C41F3EDD9371B81574161F91FB6E2EA3C4145FF996E1C8157419E2CBD8EE9EA3C418BD97D891D8157415A612C61EFEA3C41A02AE06F1E81574177136CFEF6EA3C4124EBE6501F815741EA7C4AA302EB3C4162F7363620815741368E45AE0DEB3C411B2260CE20815741964B320619EB3C41F195F3F4208157416065D7DE25EB3C411B2260CE20815741386C141538EB3C4108CB59FC1F8157415F04143C42EB3C412C329D3D1F815741D56DF2E04DEB3C41682CA5E51D815741265ED5A158EB3C41C85786401C81574196C83DCA5FEB3C41750C57D61A8157419CC7B34664EB3C414370BDDD198157413C620FEB68EB3C41DC13D76818815741122716246FEB3C413B5EF75F15815741A8F681A175EB3C41E97C4879118157416FE7A66F78EB3C411A0EA2AF0E8157411C3EB80F7AEB3C41B1AC67A10B815741088D085F79EB3C4185AA3E67088157416315DF7477EB3C4132534D3F05815741096D7A9874EB3C412A0598CE02815741A8DBB13E71EB3C4146FBF7C7008157413D473F8864EB3C41022AC5E9FB805741969C19CC57EB3C41E2601C7BF8805741C49910764AEB3C4156AB6A73F6805741E4DDF5173EEB3C414DA4861CF5805741A783F2A42FEB3C419887EE32F4805741143CB06414EB3C416EFE2082F3805741A044E9FDEFEA3C415124F413F5805741,9.756939,,motorway_link
26,786372804,0102000020110F0000060000002DA70D66ACEA3C416624FA4BED8057414D878B71BEEA3C419AD4A3752281574103C45C9BC2EA3C419B0BF76431815741215BCCD5C5EA3C41E6E5B44941815741FE0DF5EFCCEA3C41340E8C9060815741F935E50DD0EA3C41326F77DF70815741,9.86963,,motorway
27,229163292,0102000020110F000002000000DD9C85560FEA3C419700DEEA118157416EBED9BA81EA3C41660CBDDF02815741,9.912529,,primary
